,Date,CA
340,1987-02-28,51.64372975
341,1987-01-31,51.322515191
342,1986-12-31,51.025731998
343,1986-11-30,50.782262618
344,1986-10-31,50.391459028
345,1986-09-30,50.101524249
346,1986-08-31,49.94798181
347,1986-07-31,49.680261609
348,1986-06-30,49.253983369
349,1986-05-31,48.765222825
350,1986-04-30,48.406835558
351,1986-03-31,48.091904632
352,1986-02-28,47.717448184
353,1986-01-31,47.443596487
354,1985-12-31,47.329495581
355,1985-11-30,47.250686104
356,1985-10-31,47.243865673
357,1985-09-30,47.182237111
358,1985-08-31,46.95267184
359,1985-07-31,46.62796905
360,1985-06-30,46.210601788
361,1985-05-31,45.837113113
362,1985-04-30,45.670872809
363,1985-03-31,45.537117208
364,1985-02-28,45.31809095
365,1985-01-31,45.101843676
366,1984-12-31,44.957381058
367,1984-11-30,44.886353594
368,1984-10-31,44.825007415
369,1984-09-30,44.701576924
370,1984-08-31,44.543022283
371,1984-07-31,44.406936231
372,1984-06-30,44.320700732
373,1984-05-31,44.249188874
374,1984-04-30,44.108089922
375,1984-03-31,43.914584582
376,1984-02-29,43.752550995
377,1984-01-31,43.624614238
378,1983-12-31,43.503613269
379,1983-11-30,43.425257867
380,1983-10-31,43.402742703
381,1983-09-30,43.410800063
382,1983-08-31,43.437177962
383,1983-07-31,43.373664216
384,1983-06-30,43.218189344
385,1983-05-31,43.101739197
386,1983-04-30,42.951229202
387,1983-03-31,42.779069404
388,1983-02-28,42.697161724
389,1983-01-31,42.679029467
390,1982-12-31,42.627010853
391,1982-11-30,42.461315473
392,1982-10-31,42.298772096
393,1982-09-30,42.207097127
394,1982-08-31,42.18721082
395,1982-07-31,42.380784338
396,1982-06-30,42.761589761
397,1982-05-31,43.028723995
398,1982-04-30,42.994947296
399,1982-03-31,42.816155453
400,1982-02-28,42.681414941
401,1982-01-31,42.63348901
402,1981-12-31,42.717898369
403,1981-11-30,42.913258539
404,1981-10-31,43.008334868
405,1981-09-30,42.872941102
406,1981-08-31,42.674817583
407,1981-07-31,42.484780223
408,1981-06-30,42.090525289
409,1981-05-31,41.531161331
410,1981-04-30,41.118579205
411,1981-03-31,40.863385899
412,1981-02-28,40.589422041
413,1981-01-31,40.217362067
414,1980-12-31,39.752755088
415,1980-11-30,39.558626478
416,1980-10-31,39.640287211
417,1980-09-30,39.589488588
418,1980-08-31,39.277142184
419,1980-07-31,38.768644033
420,1980-06-30,38.297925977
421,1980-05-31,37.997199032
422,1980-04-30,37.734029669
423,1980-03-31,37.304983801
424,1980-02-29,36.803936914
425,1980-01-31,36.394978017
426,1979-12-31,36.089593794
427,1979-11-30,35.803819619
428,1979-10-31,35.475969199
429,1979-09-30,35.054688934
430,1979-08-31,34.441189484
431,1979-07-31,33.845122533
432,1979-06-30,33.372806526
433,1979-05-31,32.814742435
434,1979-04-30,32.173169591
435,1979-03-31,31.570727741
436,1979-02-28,31.075184656
437,1979-01-31,30.718356295
438,1978-12-31,30.479241418
439,1978-11-30,30.283773929
440,1978-10-31,29.953010928
441,1978-09-30,29.52251563
442,1978-08-31,29.153281822
443,1978-07-31,28.799312809
444,1978-06-30,28.452361124
445,1978-05-31,28.056213441
446,1978-04-30,27.619047179
447,1978-03-31,27.259298101
448,1978-02-28,26.979318037
449,1978-01-31,26.684233071
450,1977-12-31,26.375709864
451,1977-11-30,26.117366359
452,1977-10-31,25.84085352
453,1977-09-30,25.553285009
454,1977-08-31,25.144261455
455,1977-07-31,24.634561665
456,1977-06-30,24.132376451
457,1977-05-31,23.532317391
458,1977-04-30,22.941912525
459,1977-03-31,22.365106165
460,1977-02-28,21.779422491
461,1977-01-31,21.303299828
462,1976-12-31,20.93705114
463,1976-11-30,20.585554457
464,1976-10-31,20.23323083
465,1976-09-30,19.942555462
466,1976-08-31,19.665001149
467,1976-07-31,19.359815338
468,1976-06-30,19.060852311
469,1976-05-31,18.833313484
470,1976-04-30,18.603772434
471,1976-03-31,18.307058241
472,1976-02-29,18.043392175
473,1976-01-31,17.834909762
474,1975-12-31,17.658976221
475,1975-11-30,17.539759257
476,1975-10-31,17.389722267
477,1975-09-30,17.162289265
478,1975-08-31,16.91815362
479,1975-07-31,16.697365681
480,1975-06-30,16.571362239
481,1975-05-31,16.449271022
482,1975-04-30,16.18505133
483,1975-03-31,15.876964879
484,1975-02-28,15.696923679
485,1975-01-31,15.648575789
